gene_id	f1.expected_count	f2.expected_count	f3.expected_count	f4.expected_count	f5.expected_count	f6.expected_count
ENSDARG00000000001	117.23	155.75	101.16	176.87	192.92	141.58
ENSDARG00000000002	277.77	306.25	287.84	464.13	368.08	393.42
ENSDARG00000000018	841.00	1088.00	779.00	1285.00	1005.00	1030.00
ENSDARG00000000019	2560.00	3211.00	2488.00	3799.00	2743.00	3158.00
ENSDARG00000000068	1131.00	1182.00	1108.00	1822.00	1250.00	1344.00
ENSDARG00000000069	2858.00	3057.00	2284.00	3591.00	3161.00	3238.00
ENSDARG00000000086	928.00	1412.00	925.00	1525.00	725.00	1241.00
ENSDARG00000000103	2468.00	3321.45	2217.48	3566.00	2341.00	3227.00
ENSDARG00000000142	246.00	248.00	179.00	322.00	194.00	317.00
ENSDARG00000000151	121.17	155.56	134.00	205.00	123.00	167.00
ENSDARG00000000161	290.00	359.00	248.00	424.00	258.00	344.00
ENSDARG00000000175	192.00	225.00	169.00	252.00	250.00	229.00
ENSDARG00000000183	678.86	965.62	658.57	1007.80	641.65	824.68
ENSDARG00000000189	782.66	1140.77	744.40	1238.05	832.35	1120.59
ENSDARG00000000212	21069.28	19814.17	13454.78	22286.88	23362.86	22159.49
ENSDARG00000000229	332.00	371.00	285.00	436.00	261.00	392.00
ENSDARG00000000241	3410.00	3523.00	2936.00	4291.00	3617.00	3771.00
ENSDARG00000000324	414.00	584.00	421.00	738.00	424.00	561.00
ENSDARG00000000349	23.00	20.00	20.00	23.00	31.00	25.00
ENSDARG00000000369	268.00	206.00	202.00	358.00	392.00	267.00
ENSDARG00000000370	812.00	1230.00	873.00	1209.00	618.00	1067.00
ENSDARG00000000380	496.09	699.00	580.13	858.16	517.20	562.43
ENSDARG00000000394	1826.00	2250.00	1554.00	2420.00	1727.00	2138.00
ENSDARG00000000423	125.60	132.02	102.82	127.35	124.45	150.55
ENSDARG00000000442	667.00	635.00	500.00	764.00	763.00	700.00
ENSDARG00000000460	9.00	15.97	7.00	11.00	31.00	16.00
ENSDARG00000000472	378.00	535.00	333.00	522.00	279.00	468.00
ENSDARG00000000474	6.00	10.00	5.00	7.00	16.00	14.00
ENSDARG00000000476	145.00	163.00	123.00	203.00	180.00	180.00
ENSDARG00000000489	1065.00	1055.00	868.00	1457.00	1327.00	1243.00
ENSDARG00000000503	4961.00	10940.00	6555.00	9194.00	4507.00	7269.00
ENSDARG00000000516	8.00	14.00	6.00	8.00	9.00	4.00
ENSDARG00000000529	192.00	218.00	142.00	236.00	176.00	201.00
ENSDARG00000000540	605.76	672.46	481.20	868.92	814.48	775.96
ENSDARG00000000542	335.00	400.00	313.75	459.60	398.00	414.90
ENSDARG00000000551	682.00	764.00	530.00	812.00	596.00	765.00
ENSDARG00000000563	4748.81	5110.51	3930.26	8450.35	4902.54	6578.97
ENSDARG00000000567	648.00	865.00	580.00	988.00	581.00	848.00
ENSDARG00000000568	926.00	1031.00	822.00	1338.00	1163.00	1154.00
ENSDARG00000000588	229.00	227.00	196.00	283.00	322.00	261.52
ENSDARG00000000606	63.00	85.00	53.00	71.00	71.00	66.00
ENSDARG00000000631	1037.00	1276.00	900.00	1440.00	1082.00	1202.00
ENSDARG00000000638	0.00	0.00	0.00	0.00	0.00	0.00
ENSDARG00000000651	69.59	65.61	38.66	63.00	71.00	58.00
ENSDARG00000000656	10.00	8.00	11.00	17.00	20.00	9.00
ENSDARG00000000666	1044.00	1076.00	929.00	1582.00	1410.00	1251.00
ENSDARG00000000690	331.00	385.00	292.00	376.00	417.00	404.00
ENSDARG00000000729	383.00	437.00	361.00	537.00	368.00	487.00
ENSDARG00000000730	552.00	589.00	475.00	848.00	643.00	628.00
ENSDARG00000000747	90.00	102.00	69.25	130.03	92.54	100.71
ENSDARG00000000760	109.00	99.00	83.00	139.00	139.00	147.00
ENSDARG00000000767	135.40	152.98	126.18	224.65	218.55	169.45
ENSDARG00000000779	968.00	1034.00	768.00	1278.00	1086.00	1073.00
ENSDARG00000000796	417.00	509.00	454.00	694.00	613.00	478.00
ENSDARG00000000804	264.00	234.00	232.00	387.00	338.00	315.00
ENSDARG00000000830	255.00	314.00	208.00	372.00	279.00	279.00
ENSDARG00000000837	487.00	565.00	388.00	636.00	460.00	602.00
ENSDARG00000000853	1507.00	1634.00	1256.00	1978.00	1848.00	1618.00
ENSDARG00000000857	868.00	984.00	763.00	1149.00	1014.00	1033.00
ENSDARG00000000861	2643.70	3063.00	2210.00	3492.74	2717.74	3180.66
ENSDARG00000000887	80.00	83.00	63.00	100.00	88.00	103.00
ENSDARG00000000906	182.00	180.00	173.00	224.99	266.99	209.00
ENSDARG00000000935	260.33	314.90	208.59	376.34	203.18	327.86
ENSDARG00000000943	421.00	496.00	341.00	552.00	393.00	459.00
ENSDARG00000000966	2068.00	2819.00	1857.00	2852.00	1762.00	2600.00
ENSDARG00000001014	2356.00	2746.00	1764.00	2929.48	1937.00	2897.00
ENSDARG00000001015	1025.00	1382.00	919.00	1436.00	972.00	1378.00
ENSDARG00000001057	2393.00	2183.00	1778.00	2998.00	3159.00	2650.00
ENSDARG00000001127	501.00	871.00	511.00	819.00	291.00	730.00
ENSDARG00000001129	1148.00	1634.00	1096.00	1749.00	997.00	1527.00
ENSDARG00000001154	123.00	298.80	163.00	257.72	136.00	209.17
ENSDARG00000001162	1142.00	1397.00	998.00	1617.00	1104.00	1367.00
ENSDARG00000001169	157.00	126.00	93.00	159.00	176.00	156.00
ENSDARG00000001210	650.00	645.00	470.00	744.00	722.00	716.00
ENSDARG00000001220	1877.00	2687.00	1707.00	2496.00	1718.00	2462.00
ENSDARG00000001234	372.00	398.00	334.00	500.00	406.00	426.00
ENSDARG00000001241	2283.00	2532.00	1925.00	2976.00	2595.00	2697.00
ENSDARG00000001244	2164.00	2680.00	1751.00	3125.00	1881.00	2541.00
ENSDARG00000001249	137.00	145.00	127.00	186.00	158.00	150.00
ENSDARG00000001259	36.00	28.00	22.00	33.00	24.00	39.00
ENSDARG00000001303	6.00	4.00	10.00	10.00	33.00	3.00
ENSDARG00000001313	421.00	499.00	326.00	510.00	480.00	525.00
ENSDARG00000001354	482.00	477.00	363.00	537.00	561.00	535.00
ENSDARG00000001414	218.00	249.00	143.00	252.00	284.00	253.00
ENSDARG00000001431	17245.00	16727.00	13450.00	24097.00	19808.00	19508.00
ENSDARG00000001437	844.00	1149.00	811.00	1339.00	672.00	1124.00
ENSDARG00000001442	180.00	177.00	139.00	220.00	200.00	229.00
ENSDARG00000001447	348.00	481.00	335.00	451.00	424.00	466.00
ENSDARG00000001452	113.00	114.00	105.00	141.00	154.00	126.00
ENSDARG00000001463	869.00	872.00	934.00	1174.00	779.00	744.00
ENSDARG00000001470	214.97	209.36	149.96	251.19	213.01	264.19
ENSDARG00000001498	38.15	28.69	24.22	58.94	28.67	31.36
ENSDARG00000001549	178.00	267.00	140.00	272.00	96.00	250.00
ENSDARG00000001557	326.00	373.00	313.00	459.00	434.00	426.00
ENSDARG00000001558	704.00	783.00	544.00	757.00	640.00	852.00
ENSDARG00000001559	257.00	465.00	242.00	383.00	153.00	394.00
ENSDARG00000001572	3.00	9.00	4.00	16.00	7.00	1.00
ENSDARG00000001578	2733.00	2666.00	2004.00	3121.00	3017.00	2967.00
ENSDARG00000001621	215.64	247.98	159.94	289.96	222.31	233.95
ENSDARG00000001634	1051.00	1360.00	950.00	1351.00	962.00	1309.00
ENSDARG00000001656	1.00	2.00	2.00	2.00	7.00	4.00
ENSDARG00000001676	1657.00	2164.00	1512.00	2350.00	1281.00	2135.00
ENSDARG00000001686	97.00	140.00	100.00	146.00	120.00	137.00
ENSDARG00000001710	2261.00	3013.00	2121.00	3124.00	2332.00	2873.00
ENSDARG00000001712	137.00	98.00	76.00	136.00	113.00	128.00
ENSDARG00000001721	30.00	31.00	28.00	41.00	27.00	41.00
ENSDARG00000001729	2100.00	2478.00	1829.00	2922.00	2357.00	2575.00
ENSDARG00000001733	487.00	519.00	437.00	681.00	567.00	605.00
ENSDARG00000001734	604.00	757.00	533.00	847.00	697.00	761.00
ENSDARG00000001754	690.00	570.00	491.00	706.00	764.00	642.00
ENSDARG00000001760	313.00	226.00	220.00	444.00	358.00	318.00
ENSDARG00000001767	318.00	336.00	202.00	407.00	343.00	353.00
ENSDARG00000001769	811.00	1094.00	671.00	1169.00	644.00	1073.00
ENSDARG00000001771	38.00	34.00	28.00	44.00	34.00	35.00
ENSDARG00000001776	153.00	164.00	143.00	230.00	159.00	187.00
ENSDARG00000001777	849.00	1009.00	724.00	1154.00	856.00	996.00
ENSDARG00000001781	153.00	183.00	148.00	230.00	160.00	200.00
ENSDARG00000001782	181.00	179.00	93.00	172.00	136.00	210.00
ENSDARG00000001785	452.00	591.00	426.00	636.00	468.00	582.00
ENSDARG00000001788	14716.00	13438.00	10071.00	15521.00	17584.00	15205.00
ENSDARG00000001803	98.00	148.00	121.00	196.00	105.00	143.00
ENSDARG00000001804	222.00	204.00	185.00	282.00	334.00	238.00
ENSDARG00000001807	670.00	814.00	616.00	982.00	644.00	840.00
ENSDARG00000001817	25.00	34.00	18.00	32.00	16.00	35.00
ENSDARG00000001818	1162.77	1583.47	895.71	1613.06	1088.59	1688.90
ENSDARG00000001825	34.33	42.67	30.46	45.68	49.15	48.99
ENSDARG00000001829	1245.56	1269.24	957.17	1690.08	1080.47	1381.97
ENSDARG00000001835	502.00	797.00	519.00	690.00	441.00	607.00
ENSDARG00000001857	597.00	784.00	583.00	865.00	431.00	687.00
