"genes","logFC","logCPM","LR","PValue","FDR"
"ENSDARG00000079227",5.08330218435838,3.92339635757476,248.200478883928,6.40851009086358e-56,2.05437607982814e-51
"ENSDARG00000036767",3.3712625741364,4.91561353551109,230.024208654548,5.88929192554032e-52,9.43965156285231e-48
"ENSDARG00000031683",2.70273968911968,2.86360876363344,204.046841105654,2.73378033338989e-46,2.92122653824932e-42
"ENSDARG00000031588",3.66395693065695,4.93924718661682,200.593851845624,1.54967658311239e-45,1.24194955562085e-41
"ENSDARG00000098995",2.70202382618544,4.08194472694724,193.177470760461,6.43853778337978e-44,4.12800411443611e-40
"ENSDARG00000068194",1.45338141540943,5.06361224157183,190.519373189302,2.44885961739353e-43,1.30838487924641e-39
"ENSDARG00000117266",3.79988814509285,2.14616323159165,179.805376218193,5.34459386250392e-41,2.44759493500412e-37
"ENSDARG00000025428",1.88725897373182,3.75328243435241,159.87236855079,1.20651947987351e-36,4.83467437078816e-33
"ENSDARG00000028396",1.70371351946088,6.62858618605181,157.560991670943,3.85982088826762e-36,1.37482531350217e-32
"ENSDARG00000097080",4.04899512517216,1.08088940476175,154.93888870982,1.44393781101744e-35,4.6288314407786e-32
"ENSDARG00000109626",3.06384134972044,4.29749484723217,150.097937360815,1.65026238503379e-34,4.80931466154802e-31
"ENSDARG00000036832",-1.92287909467939,10.5706846503497,148.260137073807,4.16166105148135e-34,1.11175306939448e-30
"ENSDARG00000105341",-2.14938881651962,3.07614478779805,143.049417967576,5.73358059659437e-33,1.41385687065404e-29
"ENSDARG00000097539",4.19522212253394,2.20591594735299,137.407509564022,9.82128127312997e-32,2.24886295551948e-28
"ENSDARG00000093521",-3.49503737012662,0.932635266490584,128.247214801555,9.90979012874638e-30,2.11785428104815e-26
"ENSDARG00000077799",2.793250570331,2.39059377953959,125.445432348097,4.06618858837283e-29,8.14686297359173e-26
"ENSDARG00000113315",2.78634180431331,3.24851826024624,119.828888417019,6.89596700768593e-28,1.30037655509052e-24
"ENSDARG00000052779",3.08535302637327,6.16373329239671,110.481652135943,7.68534450877317e-26,1.36871716065412e-22
"ENSDARG00000092778",5.32478191183893,0.53813363286624,106.721518329408,5.12333299216159e-25,8.644141354196e-22
"ENSDARG00000051914",3.07625231816165,2.74794390728153,106.133263920979,6.89396509070473e-25,1.10499919456361e-21
"ENSDARG00000074150",3.62147528320714,2.12445789740127,104.595296836559,1.49811990265506e-24,2.28691570092444e-21
"ENSDARG00000097533",1.05424367790573,5.35795117427152,103.262920630225,2.93495267094264e-24,4.27662626238219e-21
"ENSDARG00000043093",2.91767643013476,5.16090101240259,100.635048827664,1.10593344139304e-23,1.54143079698855e-20
"ENSDARG00000086881",1.68375810627369,3.38265434644678,98.981779345688,2.54835650857849e-23,3.37642034764097e-20
"ENSDARG00000104919",4.66931045569376,3.38007117826664,98.9169663588591,2.63313811931947e-23,3.37642034764097e-20
"ENSDARG00000100106",3.4002738663762,1.94600129539885,97.2680597428659,6.05492174667388e-23,7.46548563204325e-20
"ENSDARG00000055752",2.66578333830092,2.70493204559179,96.0609441800165,1.11400885374071e-22,1.32265858608763e-19
"ENSDARG00000039099",-1.0701682337923,6.48339168802294,93.4395891033101,4.18789723113761e-22,4.7946936263778e-19
"ENSDARG00000074378",1.43716895028164,3.69486932006907,88.2982958409589,5.62919294803953e-21,6.22258752880356e-18
"ENSDARG00000076196",3.24439755190542,1.70662989293011,84.445258507684,3.95001423347925e-20,4.22085354275481e-17
"ENSDARG00000007769",2.41435308391257,3.52757120181965,82.980542656856,8.2865046397898e-20,8.5690477173465e-17
"ENSDARG00000099195",1.36685557838467,4.06857009317246,79.7398139798059,4.27106814360027e-19,4.27867598373106e-16
"ENSDARG00000068951",5.20695710878418,2.43288281567971,78.047823204241,1.00575829937828e-18,9.77017994035441e-16
"ENSDARG00000062788",3.73738079000933,4.258917523674,77.7082636114063,1.1944059618616e-18,1.12614917409992e-15
"ENSDARG00000013522",1.2336347063672,8.31183626465626,76.5398995952733,2.15808422154323e-18,1.97662016828604e-15
"ENSDARG00000018621",0.945610245698349,5.21142967361255,76.4357943188097,2.27490282017764e-18,2.02573776962319e-15
"ENSDARG00000029075",1.05790021148753,5.81651640357236,75.0466392734185,4.59724837055844e-18,3.98308083824302e-15
