gene_id,f1.expected_count,f2.expected_count,f3.expected_count,f4.expected_count,f5.expected_count,f6.expected_count
ENSDARG00000000001,117.23,155.75,101.16,176.87,192.92,141.58
ENSDARG00000000002,277.77,306.25,287.84,464.13,368.08,393.42
ENSDARG00000000018,841,1088,779,1285,1005,1030
ENSDARG00000000019,2560,3211,2488,3799,2743,3158
ENSDARG00000000068,1131,1182,1108,1822,1250,1344
ENSDARG00000000069,2858,3057,2284,3591,3161,3238
ENSDARG00000000086,928,1412,925,1525,725,1241
ENSDARG00000000103,2468,3321.45,2217.48,3566,2341,3227
ENSDARG00000000142,246,248,179,322,194,317
ENSDARG00000000151,121.17,155.56,134,205,123,167
ENSDARG00000000161,290,359,248,424,258,344
ENSDARG00000000175,192,225,169,252,250,229
ENSDARG00000000183,678.86,965.62,658.57,1007.8,641.65,824.68
ENSDARG00000000189,782.66,1140.77,744.4,1238.05,832.35,1120.59
ENSDARG00000000212,21069.28,19814.17,13454.78,22286.88,23362.86,22159.49
ENSDARG00000000229,332,371,285,436,261,392
ENSDARG00000000241,3410,3523,2936,4291,3617,3771
ENSDARG00000000324,414,584,421,738,424,561
ENSDARG00000000349,23,20,20,23,31,25
ENSDARG00000000369,268,206,202,358,392,267
ENSDARG00000000370,812,1230,873,1209,618,1067
ENSDARG00000000380,496.09,699,580.13,858.16,517.2,562.43
ENSDARG00000000394,1826,2250,1554,2420,1727,2138
ENSDARG00000000423,125.6,132.02,102.82,127.35,124.45,150.55
ENSDARG00000000442,667,635,500,764,763,700
ENSDARG00000000460,9,15.97,7,11,31,16
ENSDARG00000000472,378,535,333,522,279,468
ENSDARG00000000474,6,10,5,7,16,14
ENSDARG00000000476,145,163,123,203,180,180
ENSDARG00000000489,1065,1055,868,1457,1327,1243
ENSDARG00000000503,4961,10940,6555,9194,4507,7269
ENSDARG00000000516,8,14,6,8,9,4
ENSDARG00000000529,192,218,142,236,176,201
ENSDARG00000000540,605.76,672.46,481.2,868.92,814.48,775.96
ENSDARG00000000542,335,400,313.75,459.6,398,414.9
ENSDARG00000000551,682,764,530,812,596,765
ENSDARG00000000563,4748.81,5110.51,3930.26,8450.35,4902.54,6578.97
ENSDARG00000000567,648,865,580,988,581,848
ENSDARG00000000568,926,1031,822,1338,1163,1154
ENSDARG00000000588,229,227,196,283,322,261.52
ENSDARG00000000606,63,85,53,71,71,66
ENSDARG00000000631,1037,1276,900,1440,1082,1202
ENSDARG00000000638,0,0,0,0,0,0
ENSDARG00000000651,69.59,65.61,38.66,63,71,58
ENSDARG00000000656,10,8,11,17,20,9
ENSDARG00000000666,1044,1076,929,1582,1410,1251
ENSDARG00000000690,331,385,292,376,417,404
ENSDARG00000000729,383,437,361,537,368,487
ENSDARG00000000730,552,589,475,848,643,628
ENSDARG00000000747,90,102,69.25,130.03,92.54,100.71
ENSDARG00000000760,109,99,83,139,139,147
ENSDARG00000000767,135.4,152.98,126.18,224.65,218.55,169.45
ENSDARG00000000779,968,1034,768,1278,1086,1073
ENSDARG00000000796,417,509,454,694,613,478
ENSDARG00000000804,264,234,232,387,338,315
ENSDARG00000000830,255,314,208,372,279,279
ENSDARG00000000837,487,565,388,636,460,602
ENSDARG00000000853,1507,1634,1256,1978,1848,1618
ENSDARG00000000857,868,984,763,1149,1014,1033
ENSDARG00000000861,2643.7,3063,2210,3492.74,2717.74,3180.66
ENSDARG00000000887,80,83,63,100,88,103
ENSDARG00000000906,182,180,173,224.99,266.99,209
ENSDARG00000000935,260.33,314.9,208.59,376.34,203.18,327.86
ENSDARG00000000943,421,496,341,552,393,459
ENSDARG00000000966,2068,2819,1857,2852,1762,2600
ENSDARG00000001014,2356,2746,1764,2929.48,1937,2897
ENSDARG00000001015,1025,1382,919,1436,972,1378
ENSDARG00000001057,2393,2183,1778,2998,3159,2650
ENSDARG00000001127,501,871,511,819,291,730
ENSDARG00000001129,1148,1634,1096,1749,997,1527
ENSDARG00000001154,123,298.8,163,257.72,136,209.17
ENSDARG00000001162,1142,1397,998,1617,1104,1367
ENSDARG00000001169,157,126,93,159,176,156
ENSDARG00000001210,650,645,470,744,722,716
ENSDARG00000001220,1877,2687,1707,2496,1718,2462
ENSDARG00000001234,372,398,334,500,406,426
ENSDARG00000001241,2283,2532,1925,2976,2595,2697
ENSDARG00000001244,2164,2680,1751,3125,1881,2541
ENSDARG00000001249,137,145,127,186,158,150
ENSDARG00000001259,36,28,22,33,24,39
ENSDARG00000001303,6,4,10,10,33,3
ENSDARG00000001313,421,499,326,510,480,525
ENSDARG00000001354,482,477,363,537,561,535
ENSDARG00000001414,218,249,143,252,284,253
ENSDARG00000001431,17245,16727,13450,24097,19808,19508
ENSDARG00000001437,844,1149,811,1339,672,1124
ENSDARG00000001442,180,177,139,220,200,229
ENSDARG00000001447,348,481,335,451,424,466
ENSDARG00000001452,113,114,105,141,154,126
ENSDARG00000001463,869,872,934,1174,779,744
ENSDARG00000001470,214.97,209.36,149.96,251.19,213.01,264.19
ENSDARG00000001498,38.15,28.69,24.22,58.94,28.67,31.36
ENSDARG00000001549,178,267,140,272,96,250
ENSDARG00000001557,326,373,313,459,434,426
ENSDARG00000001558,704,783,544,757,640,852
ENSDARG00000001559,257,465,242,383,153,394
ENSDARG00000001572,3,9,4,16,7,1
ENSDARG00000001578,2733,2666,2004,3121,3017,2967
ENSDARG00000001621,215.64,247.98,159.94,289.96,222.31,233.95
ENSDARG00000001634,1051,1360,950,1351,962,1309
ENSDARG00000001656,1,2,2,2,7,4
ENSDARG00000001676,1657,2164,1512,2350,1281,2135
ENSDARG00000001686,97,140,100,146,120,137
ENSDARG00000001710,2261,3013,2121,3124,2332,2873
ENSDARG00000001712,137,98,76,136,113,128
ENSDARG00000001721,30,31,28,41,27,41
ENSDARG00000001729,2100,2478,1829,2922,2357,2575
ENSDARG00000001733,487,519,437,681,567,605
ENSDARG00000001734,604,757,533,847,697,761
ENSDARG00000001754,690,570,491,706,764,642
ENSDARG00000001760,313,226,220,444,358,318
ENSDARG00000001767,318,336,202,407,343,353
ENSDARG00000001769,811,1094,671,1169,644,1073
ENSDARG00000001771,38,34,28,44,34,35
ENSDARG00000001776,153,164,143,230,159,187
ENSDARG00000001777,849,1009,724,1154,856,996
ENSDARG00000001781,153,183,148,230,160,200
ENSDARG00000001782,181,179,93,172,136,210
ENSDARG00000001785,452,591,426,636,468,582
ENSDARG00000001788,14716,13438,10071,15521,17584,15205
ENSDARG00000001803,98,148,121,196,105,143
ENSDARG00000001804,222,204,185,282,334,238
ENSDARG00000001807,670,814,616,982,644,840
ENSDARG00000001817,25,34,18,32,16,35
ENSDARG00000001818,1162.77,1583.47,895.71,1613.06,1088.59,1688.9
ENSDARG00000001825,34.33,42.67,30.46,45.68,49.15,48.99
ENSDARG00000001829,1245.56,1269.24,957.17,1690.08,1080.47,1381.97
ENSDARG00000001835,502,797,519,690,441,607
ENSDARG00000001857,597,784,583,865,431,687
ENSDARG00000001859,93,139,78,127,113,162
ENSDARG00000001870,9366.26,11521.31,8919.54,14132.56,12244,12416.32
ENSDARG00000001873,1584,1449,967,1492,1537,1715
ENSDARG00000001879,670,839,535,920,692,802
ENSDARG00000001880,404,469,373,573,459,493
ENSDARG00000001881,35,51,27,60,9,53
ENSDARG00000001882,1078.18,991.24,924.2,1645,1523,1211
ENSDARG00000001888,676,761,580,875,634,838
ENSDARG00000001889,8498.53,11488.39,7899.11,10982.93,9191.23,9939.71
ENSDARG00000001890,2702.17,2996.46,2155.9,3682.07,2791.16,3193.5
ENSDARG00000001891,77.74,137.78,89.03,141.78,85.06,147.76
ENSDARG00000001897,1030.95,1057.55,820.75,1350.24,1216.26,1178.28
ENSDARG00000001898,267,322,241,332,349,321
ENSDARG00000001906,64,49,32,59,50,54
ENSDARG00000001909,172,222,151,232.27,166,197
ENSDARG00000001910,2777,3554,2776,4151,3036,3370
ENSDARG00000001912,137,180,135,214,126,164
ENSDARG00000001913,670,862,562,711,628,868
ENSDARG00000001929,733,779,638,1053,901,846
ENSDARG00000001930,579,641,473,732,631,625
ENSDARG00000001933,177,178,184,290,249,235
ENSDARG00000001937,358,439,281,436,372,463
ENSDARG00000001939,449,435,378,510,468,463
ENSDARG00000001940,1216,1238,1006,1648,1449,1390
ENSDARG00000001950,24348,20727,18093,30173,37075,26680
ENSDARG00000001953,582,609,896,2082,1633,636
ENSDARG00000001968,215,222,146,310,114,258
ENSDARG00000001969,645,733,531,855,608,747
ENSDARG00000001971,95,61,102,152,73,137
ENSDARG00000001975,577,701,574,988,952,684
ENSDARG00000001976,225,373,275,382,278,297
ENSDARG00000001993,2913.29,2924,2384,3866,2565,3904
ENSDARG00000001994,5493,9209,6334,9110,5394,7494
ENSDARG00000001999,359,461,327,462,332,442
ENSDARG00000002002,259.93,240,182.98,285.98,332,296
ENSDARG00000002006,931,1100,889,1392,1142,1129
ENSDARG00000002013,233,264,200,367,192,285
ENSDARG00000002016,496,568,398,662,557,656
ENSDARG00000002020,335,435,318,504,338,455
ENSDARG00000002021,1209,1370,929,1510,1043,1499
ENSDARG00000002026,77,131,84,130,34,137
ENSDARG00000002031,299,425,290,447,292,343
ENSDARG00000002037,211.9,223.89,146,294.79,163,256.92
ENSDARG00000002060,81,107,80,103,103,95
ENSDARG00000002071,1753,1773,1499,2487,1357,2155
ENSDARG00000002077,171,192,140,211,217,190
ENSDARG00000002082,2889,3339,2577,3954,3299,3380
ENSDARG00000002084,1796,1798,1444,2319,1904,2116
