Gene stable ID	Gene name	Gene description	Gene type	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand
ENSG00000000003	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	protein_coding	X	100627109	100639991	-1
ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]	protein_coding	20	50934867	50958555	-1
ENSG00000000457	SCYL3	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]	protein_coding	1	169849631	169894267	-1
ENSG00000000460	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]	protein_coding	1	169662007	169854080	1
ENSG00000000971	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	protein_coding	1	196651878	196747504	1
ENSG00000001036	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	protein_coding	6	143494811	143511690	-1
ENSG00000001084	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	protein_coding	6	53497341	53616970	-1
ENSG00000001167	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	protein_coding	6	41072945	41099976	1
ENSG00000001460	STPG1	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	protein_coding	1	24356999	24416934	-1
ENSG00000001461	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	protein_coding	1	24415794	24472976	1
ENSG00000001497	LAS1L	LAS1 like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	protein_coding	X	65512582	65534775	-1
ENSG00000001561	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	protein_coding	6	46129993	46146699	1
ENSG00000001617	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	protein_coding	3	50155045	50189075	1
ENSG00000001629	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]	protein_coding	7	92246234	92401384	1
ENSG00000001630	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	protein_coding	7	92112151	92142952	-1
ENSG00000001631	KRIT1	KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]	protein_coding	7	92198969	92246166	-1
ENSG00000002016	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	protein_coding	12	912077	990053	-1
ENSG00000002330	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	protein_coding	11	64269830	64284704	-1
ENSG00000002549	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	protein_coding	4	17577192	17607972	1
ENSG00000002586	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	protein_coding	X	2691133	2741309	1
ENSG00000002746	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]	protein_coding	7	43112599	43566001	1
ENSG00000002822	MAD1L1	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	protein_coding	7	1815793	2233243	-1
ENSG00000002834	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	protein_coding	17	38869859	38921770	1
ENSG00000002919	SNX11	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]	protein_coding	17	48103357	48123074	1
ENSG00000002933	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	protein_coding	7	150800403	150805120	1
ENSG00000003056	M6PR	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]	protein_coding	12	8940363	8949955	-1
ENSG00000003096	KLHL13	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]	protein_coding	X	117897813	118117340	-1
ENSG00000003137	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	protein_coding	2	72129238	72148038	-1
ENSG00000003249	DBNDD1	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	protein_coding	16	90004865	90020128	-1
ENSG00000003393	ALS2	ALS2, alsin Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:443]	protein_coding	2	201700554	201781189	-1
ENSG00000003400	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	protein_coding	2	201182881	201229406	1
ENSG00000003402	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	protein_coding	2	201116104	201176687	1
ENSG00000003436	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	protein_coding	2	187464230	187565760	-1
ENSG00000003509	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	protein_coding	2	37231631	37253403	1
ENSG00000003756	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	protein_coding	3	50088908	50119021	1
ENSG00000003987	MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]	protein_coding	8	17298030	17413528	-1
ENSG00000003989	SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	protein_coding	8	17497088	17570573	1
ENSG00000004059	ARF5	ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]	protein_coding	7	127588345	127591705	1
ENSG00000004139	SARM1	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]	protein_coding	17	28364356	28404049	1
ENSG00000004142	POLDIP2	DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]	protein_coding	17	28347177	28357522	-1
ENSG00000004399	PLXND1	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]	protein_coding	3	129555175	129606818	-1
ENSG00000004455	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	protein_coding	1	33007940	33080996	-1
ENSG00000004478	FKBP4	FK506 binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3720]	protein_coding	12	2794953	2805423	1
ENSG00000004487	KDM1A	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]	protein_coding	1	23019443	23083689	1
ENSG00000004534	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]	protein_coding	3	49940007	50100045	1
ENSG00000004660	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	protein_coding	17	3860315	3894891	-1
ENSG00000004700	RECQL	RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]	protein_coding	12	21468911	21501669	-1
ENSG00000004766	VPS50	VPS50, EARP/GARPII complex subunit [Source:HGNC Symbol;Acc:HGNC:25956]	protein_coding	7	93232340	93361121	1
ENSG00000004776	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	protein_coding	19	35754569	35758079	-1
ENSG00000004777	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]	protein_coding	19	35774532	35788822	1
ENSG00000004779	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	protein_coding	16	23581002	23596356	-1
ENSG00000004799	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	protein_coding	7	95583499	95596491	-1
ENSG00000004846	ABCB5	ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46]	protein_coding	7	20615207	20777038	1
