Gene stable ID	Gene start (bp)	Gene end (bp)	Strand	Gene name	Gene type	Gene description	Chromosome/scaffold name
ENSDARG00000063344	20927135	20934666	1	fam162a	protein_coding	family with sequence similarity 162 member A [Source:ZFIN;Acc:ZDB-GENE-030131-8307]	24
ENSDARG00000097685	50460321	50472985	-1	si:ch211-235i11.3	protein_coding	si:ch211-235i11.3 [Source:ZFIN;Acc:ZDB-GENE-131125-9]	17
ENSDARG00000036008	49266886	49295059	1	caly	protein_coding	calcyon neuron-specific vesicular protein [Source:ZFIN;Acc:ZDB-GENE-090313-405]	1
ENSDARG00000069301	29034221	29039506	-1	tmem177	protein_coding	transmembrane protein 177 [Source:ZFIN;Acc:ZDB-GENE-030131-993]	9
ENSDARG00000104901	59169081	59176338	1	ostc	protein_coding	oligosaccharyltransferase complex subunit [Source:ZFIN;Acc:ZDB-GENE-040426-1079]	7
ENSDARG00000031836	44949909	44963259	1	vps37c	protein_coding	vacuolar protein sorting 37 homolog C (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-061110-126]	1
ENSDARG00000103391	14603731	14607855	-1	rab9b	protein_coding	RAB9B, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-091118-112]	14
ENSDARG00000030463	35229645	35243976	1	tppp3	protein_coding	tubulin polymerization-promoting protein family member 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1909]	7
ENSDARG00000103031	55507920	55592720	-1	znf1029	protein_coding	zinc finger protein 1029 [Source:ZFIN;Acc:ZDB-GENE-110914-6]	4
ENSDARG00000070447	48126944	48157178	1	slc39a9	protein_coding	solute carrier family 39, member 9 [Source:ZFIN;Acc:ZDB-GENE-060314-3]	17
ENSDARG00000080018	34627550	34683370	-1	kif16bb	protein_coding	kinesin family member 16Bb [Source:ZFIN;Acc:ZDB-GENE-070424-241]	13
ENSDARG00000036109	24448584	24484758	-1	mtx1b	protein_coding	metaxin 1b [Source:ZFIN;Acc:ZDB-GENE-021210-1]	19
ENSDARG00000029612	36591791	36618073	-1	gpkow	protein_coding	G patch domain and KOW motifs [Source:ZFIN;Acc:ZDB-GENE-030616-159]	8
ENSDARG00000075759	15033822	15117508	1	samd4a	protein_coding	sterile alpha motif domain containing 4A [Source:ZFIN;Acc:ZDB-GENE-070720-7]	17
ENSDARG00000068484	44324761	44335322	1	CABZ01100185.1	processed_transcript		11
ENSDARG00000057635	13217896	13225402	-1	wdr34	protein_coding	WD repeat domain 34 [Source:ZFIN;Acc:ZDB-GENE-070928-9]	21
ENSDARG00000032737	23353570	23429228	-1	gria3a	protein_coding	glutamate receptor, ionotropic, AMPA 3a [Source:ZFIN;Acc:ZDB-GENE-020125-5]	5
ENSDARG00000053517	43039463	43287290	-1	si:dkey-1f12.3	protein_coding	si:dkey-1f12.3 [Source:ZFIN;Acc:ZDB-GENE-030131-1677]	17
ENSDARG00000111826	12450564	12452482	-1	zgc:174354	protein_coding	zgc:174354 [Source:ZFIN;Acc:ZDB-GENE-080218-8]	11
ENSDARG00000098335	36875204	36875984	1	BX537137.2	processed_transcript		4
ENSDARG00000092715	26220175	26229796	-1	CR847503.1	lincRNA	fibrinogen silencer-binding protein-like [Source:NCBI gene;Acc:108190967]	8
